 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
41:16 |   240 |     5.000e-05 |     0.3285 |          0.3797 |     0.3798 |            7195
53:59 |   241 |     5.000e-05 |     0.3251 |          0.4369 |     0.4370 |            7195
06:36 |   242 |     5.000e-05 |     0.3325 |          0.6094 |     0.6095 |            7195
19:21 |   243 |     5.000e-05 |     0.3260 |          0.5727 |     0.5727 |            7195
32:04 |   244 |     5.000e-05 |     0.3304 |          0.5236 |     0.5236 |            7195
44:50 |   245 |     5.000e-05 |     0.3286 |          0.4177 |     0.4177 |            7258
57:30 |   246 |     5.000e-05 |     0.3262 |          1.0335 |     1.0334 |            7258
10:10 |   247 |     2.500e-05 |     0.2205 |          0.3212 |     0.3212 |            7258
22:50 |   248 |     2.500e-05 |     0.2134 |          0.2747 |     0.2747 |            7258
35:37 |   249 |     2.500e-05 |     0.2149 |          0.4484 |     0.4484 |            7258
48:28 |   250 |     2.500e-05 |     0.2088 |          0.3748 |     0.3748 |            7258
01:03 |   251 |     2.500e-05 |     0.2106 |          0.5986 |     0.5986 |            7258
13:44 |   252 |     2.500e-05 |     0.2094 |          0.3112 |     0.3113 |            7258
26:29 |   253 |     2.500e-05 |     0.2094 |          0.2851 |     0.2852 |            7258
39:08 |   254 |     2.500e-05 |     0.2106 |          0.3011 |     0.3011 |            7258
51:45 |   255 |     2.500e-05 |     0.2083 |          0.3352 |     0.3352 |            7258
04:30 |   256 |     2.500e-05 |     0.2115 |          0.3649 |     0.3649 |            7258
17:14 |   257 |     2.500e-05 |     0.2093 |          0.5690 |     0.5689 |            7258
29:57 |   258 |     2.500e-05 |     0.2074 |          0.3199 |     0.3199 |            7258
42:39 |   259 |     2.500e-05 |     0.2066 |          0.2836 |     0.2837 |            7258
55:23 |   260 |     2.500e-05 |     0.2070 |          0.5465 |     0.5466 |            7258
08:14 |   261 |     2.500e-05 |     0.2067 |          0.7004 |     0.7003 |            7258
20:56 |   262 |     2.500e-05 |     0.2063 |          0.3893 |     0.3893 |            7258
33:34 |   263 |     2.500e-05 |     0.2082 |          0.2965 |     0.2965 |            7258
46:20 |   264 |     2.500e-05 |     0.2062 |          0.3262 |     0.3263 |            7258
59:08 |   265 |     2.500e-05 |     0.2067 |          0.6806 |     0.6806 |            7258
11:53 |   266 |     2.500e-05 |     0.2053 |          0.4878 |     0.4878 |            7258
24:34 |   267 |     2.500e-05 |     0.2034 |          0.5230 |     0.5230 |            7258
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
10:29 |   268 |     2.500e-05 |     0.2039 |          0.2810 |     0.2810 |            7160
23:10 |   269 |     2.500e-05 |     0.2059 |          0.4079 |     0.4079 |            7164
